,Recall@20,MRR@20
BPR-max_50_0.01_0_20,0.1916184971098266,0.0838821861921009
BPR-max_50_0.01_0_50,0.2091460055096419,0.09167246127657633
BPR-max_50_0.01_0_100,0.21100828729281765,0.09186468175638117
BPR-max_50_0.01_0.1_20,0.19544453619598126,0.08277202061829413
BPR-max_50_0.01_0.1_50,0.1829201101928375,0.078513814792545
BPR-max_50_0.01_0.1_100,0.18291436464088395,0.07554127472885035
BPR-max_50_0.05_0_20,0.4675474814203138,0.2061803367628749
BPR-max_50_0.05_0_50,0.49457300275482097,0.22567931959308046
BPR-max_50_0.05_0_100,0.49363259668508286,0.224723514930978
BPR-max_50_0.05_0.1_20,0.47449766033581064,0.21297023787237285
BPR-max_50_0.05_0.1_50,0.507396694214876,0.2306506512199141
BPR-max_50_0.05_0.1_100,0.5045580110497238,0.2315869947370574
BPR-max_100_0.01_0_20,0.28084227910817505,0.1308011080893595
BPR-max_100_0.01_0_50,0.27710743801652893,0.12838108900462383
BPR-max_100_0.01_0_100,0.2850552486187845,0.12982692468129303
BPR-max_100_0.01_0.1_20,0.28720066061106525,0.13114412776640563
BPR-max_100_0.01_0.1_50,0.27847107438016533,0.12861973892887105
BPR-max_100_0.01_0.1_100,0.3033563535911602,0.14447716570546779
BPR-max_100_0.05_0_20,0.5075832645196807,0.22976847111044707
BPR-max_100_0.05_0_50,0.5434159779614325,0.2544116396456957
BPR-max_100_0.05_0_100,0.5297651933701658,0.24737022251137714
BPR-max_100_0.05_0.1_20,0.513102119460501,0.23266462170350513
BPR-max_100_0.05_0.1_50,0.5242286501377411,0.2422267839610166
BPR-max_100_0.05_0.1_100,0.537610497237569,0.2521651389272832
BPR-max_200_0.01_0_20,0.35761078998073215,0.17262737811400772
BPR-max_200_0.01_0_50,0.3729752066115702,0.17996562258968998
BPR-max_200_0.01_0_100,0.374792817679558,0.1800568242511038
BPR-max_200_0.01_0.1_20,0.358298926507019,0.16979032261115098
BPR-max_200_0.01_0.1_50,0.3390082644628099,0.1612992739848813
BPR-max_200_0.01_0.1_100,0.3719060773480663,0.17819717177575795
BPR-max_200_0.05_0_20,0.5324525185796862,0.2449674189937712
BPR-max_200_0.05_0_50,0.5460881542699725,0.25223784792665443
BPR-max_200_0.05_0_100,0.5387430939226519,0.2502285831746805
BPR-max_200_0.05_0.1_20,0.5196944673823287,0.23855034450923743
BPR-max_200_0.05_0.1_50,0.5423691460055097,0.25078751495205504
BPR-max_200_0.05_0.1_100,0.5493370165745857,0.2554161000111814
CrossEntropy_50_0.01_0_20,0.14638040187173135,0.05846853584664836
CrossEntropy_50_0.01_0_50,0.1456749311294766,0.05607377418203693
CrossEntropy_50_0.01_0_100,0.20704419889502762,0.0802949383386632
CrossEntropy_50_0.01_0.1_20,0.15726672171758876,0.0642082504860179
CrossEntropy_50_0.01_0.1_50,0.14403581267217633,0.05897465554423907
original_rnn_BPR-max_50_0.01_0_20,0.25235342691990087,0.1107603042443382
original_rnn_BPR-max_50_0.01_0_50,0.2576584022038568,0.11096416445212957
original_rnn_BPR-max_50_0.01_0_100,0.254792817679558,0.11099539934889058
original_rnn_BPR-max_50_0.01_0.1_20,0.2555601431323975,0.11104438773883435
original_rnn_BPR-max_50_0.01_0.1_50,0.2284573002754821,0.09767225047749192
original_rnn_BPR-max_50_0.01_0.1_100,0.2510497237569061,0.11047293522616447
original_rnn_BPR-max_50_0.05_0_20,0.5191301954307734,0.2346342738113832
original_rnn_BPR-max_50_0.05_0_50,0.5343939393939394,0.24529479615923952
original_rnn_BPR-max_50_0.05_0_100,0.5358701657458564,0.24793398055088453
original_rnn_BPR-max_50_0.05_0.1_20,0.5072942471786402,0.22387932426150822
original_rnn_BPR-max_50_0.05_0.1_50,0.5343801652892562,0.2428936059112063
original_rnn_BPR-max_50_0.05_0.1_100,0.5359116022099447,0.24805633460289866
original_rnn_BPR-max_100_0.01_0_20,0.323589320121112,0.1500576268492547
original_rnn_BPR-max_100_0.01_0_50,0.32179063360881544,0.14374420234097102
original_rnn_BPR-max_100_0.01_0_100,0.3437292817679558,0.160728318822565
original_rnn_BPR-max_100_0.01_0.1_20,0.33960913845306906,0.15842904017036158
original_rnn_BPR-max_100_0.01_0.1_50,0.3330578512396694,0.15499561516819496
original_rnn_BPR-max_100_0.01_0.1_100,0.35107734806629837,0.16508636254179215
