Model,Recall@20,MRR@20
improved_rnn_TOP1-max_1000_0.01_0_100,0.597237569,0.280374644
improved_rnn_TOP1-max_1000_0.01_0_100,0.597679558,0.280036456
improved_rnn_TOP1-max_1000_0.01_0_20,0.60136251,0.279767081
improved_rnn_TOP1-max_1000_0.01_0.1_50,0.597672176,0.279448543
improved_rnn_TOP1-max_1000_0.01_0_50,0.597823691,0.279356255
improved_rnn_TOP1-max_1000_0.01_0_500,0.598577465,0.279027714
improved_rnn_TOP1-max_1000_0.01_0_20,0.600371594,0.278839032
improved_rnn_TOP1-max_1000_0.01_0_500,0.59856338,0.27866481
improved_rnn_TOP1-max_1000_0.02_0_50,0.593250689,0.271074546
improved_rnn_TOP1-max_1000_0.02_0_100,0.590649171,0.269873512
improved_rnn_TOP1-max_1000_0.02_0_500,0.591183099,0.267395391
improved_rnn_TOP1-max_1000_0.02_0_20,0.591714836,0.264910065
improved_rnn_TOP1-max_1000_0.01_0_10,0.588567891,0.261267248
improved_rnn_BPR-max_100_0.05_0.1_50,0.559366391,0.253996239
improved_rnn_BPR-max_100_0.05_0_50,0.553126722,0.248741052
improved_rnn_BPR-max_1000_0.01_0.1_50,0.522190083,0.241811606
improved_rnn_BPR-max_1000_0.01_0_50,0.514380165,0.239110941
improved_rnn_TOP1-max_100_0.05_0.1_50,0.56523416,0.238128644
improved_rnn_TOP1-max_100_0.05_0_50,0.564504132,0.238059414
improved_rnn_TOP1-max_100_0.01_0_50,0.512341598,0.229523771
improved_rnn_TOP1-max_100_0.01_0.1_50,0.500592287,0.226278492
improved_rnn_TOP1-max_1000_0.05_0.1_50,0.524710744,0.221524219
improved_rnn_TOP1-max_1000_0.05_0_50,0.515743802,0.216492072
improved_rnn_TOP1-max_1000_0.05_0_50,0.518898072,0.213937429
improved_rnn_TOP1-max_1000_0.05_0_20,0.450770713,0.177668837
improved_rnn_BPR-max_100_0.01_0.1_50,0.365440771,0.15188459
improved_rnn_BPR-max_100_0.01_0_50,0.363732782,0.150484383
improved_rnn_BPR-max_1000_0.05_0.1_50,0.240275482,0.107086633
improved_rnn_BPR-max_1000_0.05_0_50,0.196267218,0.091358244
improved_rnn_TOP1-max_1000_0.001_0_10,0.11133581,0.048926482
improved_rnn_TOP1-max_1000_0.001_0_20,0.086223507,0.036799708
improved_rnn_TOP1-max_1000_0.001_0_500,0.073535211,0.032412343
improved_rnn_TOP1-max_1000_0.001_0_100,0.037679558,0.015566001
