Model,Recall@20,MRR@20
original_rnn_BPR-max_100_0.01_0.1_50,0.395826446,0.163122256
original_rnn_BPR-max_100_0.01_0_50,0.373126722,0.158051359
original_rnn_BPR-max_100_0.05_0.1_50,0.589242424,0.262169903
original_rnn_BPR-max_100_0.05_0_50,0.586129477,0.259099175
original_rnn_BPR-max_1000_0.01_0.1_50,0.563911846,0.257553638
original_rnn_BPR-max_1000_0.01_0_50,0.562699725,0.25719807
original_rnn_BPR-max_1000_0.05_0.1_50,0.528112948,0.219377874
original_rnn_BPR-max_1000_0.05_0_50,0.507906336,0.208212241
original_rnn_TOP1-max_100_0.01_0.1_50,0.537878788,0.24129313
original_rnn_TOP1-max_100_0.01_0_50,0.537300275,0.240796919
original_rnn_TOP1-max_100_0.05_0.1_50,0.609146006,0.274942456
original_rnn_TOP1-max_100_0.05_0_50,0.61084022,0.274912043
original_rnn_TOP1-max_1000_0.01_0.1_50,0.613292011,0.28964253
original_rnn_TOP1-max_1000_0.01_0_50,0.614256198,0.290314877
original_rnn_TOP1-max_1000_0.05_0.1_50,0.597286501,0.270918891
original_rnn_TOP1-max_1000_0.05_0_50,0.599311295,0.271678831
